Teff,feh,logg,u_g,g_r,r_i,i_z,sigma_phot
8583.082,-1.48296,3.978275,1.2994899999999987,0.1360600000000005,0.01781000000000077,0.05164999999999864,0.00783741502711039
8926.213,-1.489183,3.738989,1.5430200000000003,0.20956999999999937,0.0763499999999997,0.09083000000000041,0.007045917962309382
8373.887,-0.5124857,4.106909,1.4834300000000002,0.17225000000000001,0.03669999999999973,0.05291000000000068,0.006670841335693216
8910.725,-1.158866,4.18735,1.467959999999998,0.17021000000000086,0.05672999999999817,0.04429000000000016,0.010481833654988495
8765.997,-1.152669,4.17282,1.2960999999999991,0.07805000000000106,-0.005870000000001596,0.02586000000000155,0.008640304179324793
8582.834,-0.1577044,4.295133,1.5330100000000009,0.2970100000000002,0.12264000000000053,0.08226999999999762,0.00841249999362416
8724.773,-0.2319051,4.365333,1.5061,0.16041999999999845,0.03369999999999962,0.02552999999999983,0.007969264606662946
8820.345,-0.7256074,4.156359,1.5382299999999987,0.22264000000000195,0.08330000000000126,0.07064999999999699,0.010607739458593064
8855.775,-0.7439701,4.143839,1.3765900000000002,0.14034999999999975,0.01241000000000092,0.03078000000000003,0.006839749405991056
8393.453,-0.759838,4.238399,1.399000000000001,0.18469999999999942,0.04263999999999868,0.05921999999999983,0.010341505239255503
7507.773,-0.1937402,4.351395,1.5516199999999998,0.30996000000000024,0.1734000000000009,0.15812999999999988,0.016439214815593642
8725.682,-0.6115848,3.859822,1.5292300000000019,0.21640000000000015,0.04767999999999972,0.06522999999999968,0.00794138842491527
8476.224,-0.8967168,4.116482,1.4858100000000007,0.17059999999999675,0.03071000000000268,0.07582000000000022,0.009141063552174755
8892.415,-0.8587929,4.228138,1.3659399999999984,0.18933000000000177,0.03926999999999836,0.07742000000000004,0.010059507177522664
8111.189,-0.2078792,4.305016,1.5058500000000024,0.2414999999999985,0.06788999999999845,0.05327000000000126,0.009289112677444332
8759.828,-1.110463,4.06401,1.4536300000000022,0.17985000000000007,0.03575999999999979,0.055429999999999424,0.007070100315129305
8102.162,-2.991956,3.792303,0.6833100000000005,0.08437999999999946,-0.028389999999999915,-0.02736999999999945,0.006006940953224382
8424.676,-0.6058775,4.224599,1.5273399999999988,0.2526299999999999,0.07973000000000141,0.08989000000000047,0.008650707707381172
8416.24,-1.391331,4.204728,1.4924199999999992,0.30619000000000085,0.1043200000000013,0.09631999999999863,0.011600985886062572
8461.119,-0.7584711,4.444373,1.56569,0.30759000000000114,0.0872300000000017,0.11476000000000042,0.012363764972610164
8805.08,-0.6284922,4.004367,1.3427499999999988,0.17013999999999996,0.02972000000000108,0.07432000000000016,0.008627770297114501
9038.611,-1.011115,4.086357,1.4755599999999998,0.23390000000000022,0.07565999999999917,0.07931000000000132,0.007135685448934601
8439.703,-1.671984,3.452553,1.3751800000000003,0.2729700000000008,0.07757999999999932,0.1232299999999995,0.006866100299281063
8539.795,-1.234016,4.263473,1.2966599999999993,0.18936000000000064,0.03591000000000122,0.06128999999999962,0.010564531582832104
8939.959,-0.9110895,4.3,1.289900000000003,0.16599999999999682,0.008770000000001943,0.03967000000000098,0.00880459256291072
